id:ID(Station),name:String,x:String,y:String,:Label
1,建设大道双墩,114.24165817248004,30.592320227518556,station
2,建设大道新合村,114.24904552348548,30.591695338026703,station
3,解放大道水厂,114.287987799462,30.590363203849442,station
4,解放大道太平洋,114.24034574812997,30.58288464754112,station
5,解放大道仁寿路,114.25459773155441,30.579935552781944,station
6,解放大道宝丰路,114.2580164056473,30.590526671347337,station
7,解放大道同济医院,114.26536364102357,30.585012973330386,station
8,解放大道航空路,114.26811739297119,30.590739970485323,station
9,解放大道中山公园,114.27760745619231,30.59192870504898,station
10,友谊路中山大道口,114.29231943581757,30.567753669774802,station
11,中山大道地铁六渡桥站,114.29367329900083,30.582117709399583,station
12,中山大道地铁江汉路站,114.29367329900083,30.582117709399583,station
13,保华街黄石路,114.29904040762621,30.589609865879304,station
14,中山大道大智路,114.30119857134274,30.595757956821707,station
15,胜利街一元路,114.30965400490463,30.598589231206414,station
16,胜利街三阳路,114.31425539970991,30.606083760070806,station
17,胜利街六合路,114.31483495049271,30.60675805555618,station
18,胜利街张自忠路,114.31660390807586,30.609633341082805,station
19,芦沟桥路,114.31647740240581,30.612913028017186,station
20,左岭,114.61508206619742,30.534956362782804,station
21,未来三路,114.612823,30.478166,station
22,未来一路,114.59140442087045,30.495454871464297,station
23,长岭山,114.5814463234108,30.496260802571946,station
24,光谷七路,114.54055630010548,30.474580439178332,station
25,豹澥,114.55646233166884,30.465141550476773,station
26,光谷六路,114.51976953575715,30.48997312643791,station
27,光谷五路,114.41010824205001,30.512302920158792,station
28,光谷四路,114.49924063449699,30.499482387946884,station
29,光谷生物园,114.42963289434327,30.50999457448467,station
30,光谷同济医院,114.46954811154308,30.492289030664033,station
31,湖口,116.25847134558812,29.737131514561977,station
32,光谷火车站,114.42963289434327,30.50999457448467,station
33,临江大道5.5互联网产业园,114.3028389005599,30.55723062598088,station
34,临江大道建设十路,114.41534871654764,30.652607673514645,station
35,临江大道武丰二路,114.4212272385846,30.65686541112417,station
36,临江大道建设十一路,114.42512359381887,30.652950845195875,station
37,建设十一路绿水花园,114.42512359381887,30.652950845195875,station
38,建设十一路青宜居,114.42728469050289,30.649963309817263,station
39,和平大道建设十路,114.34053158686017,30.59698028588439,station
40,和平大道青山公园,114.34053158686017,30.59698028588439,station
41,建设八路和平大道口,114.34053158686017,30.59698028588439,station
42,建设八路红钢二街,114.40686087841111,30.65024820319121,station
43,临江大道建设八路,114.40686087841111,30.65024820319121,station
44,经开大道小军社区山,114.167623,30.414035,station
45,经开大道邵家湾,114.22813180072112,30.5639527909787,station
46,101省道肖家岭,114.12663311633555,30.38371732235124,station
47,军山中学,114.13215659749258,30.381310695736396,station
48,军山小学,114.13504619658926,30.375735548786857,station
49,知音湖大道花博汇,114.09280860183247,30.53463595124536,station
50,知音湖大道武汉职工疗养院,114.09421685292283,30.532237576444867,station
51,知音湖大道知音公园,114.09280860183247,30.53463595124536,station
52,同济健康谷学术交流中心,114.37566918506957,30.883617747523857,station
53,同济健康谷西门,114.37566918506957,30.883617747523857,station
54,同济健康谷,114.37566918506957,30.883617747523857,station
55,同济医院中法新城院区,114.26536364102357,30.585012973330386,station
56,新天大道同济医院,114.07766915814047,30.567229299001443,station
57,新天大道恒大绿洲,114.13035387080872,30.556157070800126,station
58,汉阳大道孟家铺,114.18418198086569,30.572215108170166,station
59,汉阳大道永安堂,114.20244954622488,30.5731952993784,station
60,玉龙路朱家亭,114.20862789928513,30.57245686407529,station
61,运铎公园路运铎公园,114.02314798382322,30.59628442937264,station
62,树藩大街变电站,114.01861208357435,30.590269532677937,station
63,树藩大街树藩体育馆,114.03257265219983,30.584674187777914,station
64,临嶂大道蔡甸五小,114.03412471661251,30.579151667862366,station
65,蔡甸大街交通运输局,114.03721426054959,30.577651663946348,station
66,新天大道蔡甸广场,114.04879354613259,30.579809883005247,station
67,新天大道凤凰山,114.07766915814047,30.567229299001443,station
68,汉阳大道好美家,114.21218226871343,30.569668063106466,station
69,龙阳大道王家湾,114.21482686486362,30.567822036552734,station
70,和平大道建设二路,114.34053158686017,30.59698028588439,station
71,和平大道建设一路,114.34053158686017,30.59698028588439,station
72,和平大道罗家路,114.34053158686017,30.59698028588439,station
73,和平大道奥山世纪城,114.36780914121327,30.622936012797638,station
74,和平大道杨家路,114.34053158686017,30.59698028588439,station
75,和平大道余家头,114.34053158686017,30.59698028588439,station
76,和平大道杨园,114.35001196275468,30.607532487933124,station
77,和平大道四美塘,114.34643138526313,30.60339033703762,station
78,徐东大街地铁徐东站,114.36850052923545,30.58287572282494,station
79,徐东大街岳家嘴,114.36925189981147,30.58234404152774,station
80,中北路地铁东亭站,114.3638274523454,30.578500925166125,station
81,中北路车家岭,114.35212638977254,30.565457948290792,station
82,中北路地铁青鱼嘴站,114.35709402373425,30.572396927393303,station
83,中北路周家大湾,114.35212638977254,30.565457948290792,station
84,中北路地铁楚河汉街站,114.35212638977254,30.565457948290792,station
85,中北路姚家岭街,114.3420134900193,30.555973117701722,station
86,洪山广场地铁站,114.34323269630829,30.55099731376502,station
87,武汉火车站,114.43102667193526,30.613077760516756,station
88,团结大道杨春湖实验学校,114.38758055353858,30.60785420623847,station
89,站前路厂前商场,114.44091443566668,30.620486651103718,station
90,站前路铁铺岭,114.44323997076752,30.61682108405094,station
91,青王路联合村,114.45339957701746,30.563290246729714,station
92,青王路龚家岭,114.4458883496822,30.599860811823827,station
93,青王路张家铺,114.44886330307351,30.590733752280418,station
94,青王路裕锦花苑,114.44981368784543,30.589333436061235,station
